Campus,primary_loc,primary_loc_display,,(form of name from Melvyl help documentation)
UC Berkeley,Anthropol,Foster (George and Mary) Anthropology Library,g,Anthropology Lib
UC Berkeley,Archv Neg,Doe/Moffitt Libraries,g,Archival Negative (inquire at Circulation Desk)
UC Berkeley,ArchSlide,Doe/Moffitt Libraries,g,Archival Slide (inquire at Circulation Desk)
UC Berkeley,Art Hist,Art History/Classics Library,g,Art History/Classics Lib
UC Berkeley,AsianAmer,Ethnic Studies Library,,Asian American Studies Collection
UC Berkeley,Bancroft,Bancroft Library,,Bancroft Library
UC Berkeley,Biosci,Bioscience & Natural Resources Library,g,Bioscience & Natural Resources Lib
UC Berkeley,Bus&Econ,Long (Thomas J.) Business & Economics Library,g,Business & Economics
UC Berkeley,CenChiStu,Center for Chinese Studies Library,g,Center for Chinese Studies Lib
UC Berkeley,CED ARCH,Environmental Design Library,g,Environmental Design Lib
UC Berkeley,Chemistry,Chemistry and Chemical Engineering Library,g,Chemistry Lib
UC Berkeley,Chicano,Chicano Studies Library,g,Chicano Studies Lib
UC Berkeley,Curr Peri,Doe/Moffitt Libraries,g,Current Periodicals
UC Berkeley,Doe Refe,Doe/Moffitt Libraries,g,Doe Lib Reference
UC Berkeley,Earth Sci,Earth Sciences & Map Library,g,Earth Sciences & Map Lib
UC Berkeley,East Asia,Starr (C.V.) East Asian Library,g,East Asian Lib
UC Berkeley,Ed/Psych,Education-Psychology Library,g,Education-Psychology Lib
UC Berkeley,Engin,Kresge Engineering Library,g,Engineering Lib
UC Berkeley,EnvDesign,Environmental Design Library,g,Environmental Design Lib
UC Berkeley,EERC,Earthquake Engineering Research Center Library,g,Earthquake Engineering Resource Center
UC Berkeley,Ethnic,Ethnic Studies Lib,,Ethnic Studies Lib
UC Berkeley,ForestPrd,Forest Products Library,g,Forest Products Lib
UC Berkeley,Grad Svcs,Doe/Moffitt Libraries,g,Graduate Services
UC Berkeley,GovSocSci,Doe/Moffitt Libraries,g,Government Information
UC Berkeley,Govt Refe,Doe/Moffitt Libraries,g,Government Reference
UC Berkeley,HealthSci,Fong (Pamela & Kenneth) Optometry & Health Sciences Library,g,Optometry & Health Sciences Lib
UC Berkeley,IGS,Institute of Governmental Studies Library,g,Institute of Governmental Studies
UC Berkeley,IRLE Libr,Institute for Research on Labor and Employment Library,,Institute for Research on Labor and Employment Lib
UC Berkeley,Journal,Doe/Moffitt Libraries,g,Journalism Collection
UC Berkeley,Law Lib,Law Library,,Law Lib at Boalt Hall
UC Berkeley,Main,Doe/Moffitt Libraries,g,Doe Lib
UC Berkeley,MasterNeg,Master Negative,r,Master Negative (inquire at Circulation Desk)
UC Berkeley,Math,Mathematics Statistics Library,g,Mathematics Statistics Lib 
UC Berkeley,Media Ctr,Media Resources Center,r,Media Resources Center
UC Berkeley,Moff Refe,Doe/Moffitt Libraries,g,Moffitt Lib Reference
UC Berkeley,Moffitt,Doe/Moffitt Libraries,g,Moffitt Lib
UC Berkeley,Morrison,Morrison Library,g,Morrison Lib
UC Berkeley,Music,Music Library,,Music Lib
UC Berkeley,NativAmer,Ethnic Studies Library,g,Native American Studies Collections
UC Berkeley,NewsMicro,Periodicals/Newspapers/Microform,r,Periodicals/Newspapers/Microform
UC Berkeley,NRLF,Northern Regional Library Facility (NRLF),g,Northern Regional Lib Facility
UC Berkeley,Optom,Fong (Pamela & Kenneth) Optometry & Health Sciences Library,g,Optometry & Health Sciences Lib
UC Berkeley,Peri Room,Doe/Moffitt Libraries,g,Periodicals/Newspapers/Microform
UC Berkeley,PFA,Berkeley Art Museum/Pacific Film Archive,,Pacific Film Archives
UC Berkeley,Philos,Doe/Moffitt Libraries,g,Philosophy Collection
UC Berkeley,Physics,Physics-Astronomy Library,g,Physics Lib
UC Berkeley,PubHealth,Margen (Sheldon) Public Health Library,g,Public Health Lib
UC Berkeley,StateData,UC Data Archive,g,UC Data Archive & Technical Assistance
UC Berkeley,S.Welfare,Social Welfare Library,g,Social Welfare Lib
UC Berkeley,S-S/EAsia,South/Southeast Asia Library,g,South/Southeast Asia Lib
UC Berkeley,Software,Software (inquire at Circulation Desk),r,Software (inquire at Circulation Desk)
UC Berkeley,Trans,Institute of Transportation Studies,,Institute of Transportation Studies
UC Berkeley,WebResrce,Web Resource,r,Web Resource
UC Berkeley,WRCA,Water Resources Center Archives,,Water Resources Center Archive
UC Davis,Blaisdell,Blaisdell Medical Library,g,Blaisdell Medical Li b
UC Davis,HealthSci,Carlson (Loren D.) Health Sciences Library,,Loren D. Carlson Health Sciences Lib
UC Davis,Law Lib,Mabie Law Library,g,Law Lib
UC Davis,NRLF,Northern Regional Library Facility (NRLF),g,Northern Regional Lib Facility
UC Davis,PhySciEng,Physical Sciences & Engineering Library,g,Physical Sciences & Engineering Lib
UC Davis,Shields,Shields (Peter J.) Library,g,Shields Lib
UC Irvine,EastAsian,Langson Library,g,Langson - East Asian
UC Irvine,Internet,Internet Resource,r,Internet Resource
UC Irvine,Langson,Langson Library,g,Langson Library
UC Irvine,Grunigen,Grunigen Medical Library,g,Grunigen Medical Library
UC Irvine,Sci Lib,Science Library,g,Science Lib
UC Irvine,SOTA,School of the Arts,g,School of the Arts
UC Los Angeles,AmerInd,American Indian Studies Center Library,g,American Indian Studies Center Lib
UC Los Angeles,Arts,Arts Library,g,Arts Lib
UC Los Angeles,AsianAmer,Asian American Studies Center,g,Asian American Studies Center Reading Room
UC Los Angeles,Biomed,Biomedical Library (Louise M. Darling Biomedical Library),,Biomedical Lib
UC Los Angeles,Chicano,Chicano Studies Research Center,,Chicano Studies Research Center Lib
UC Los Angeles,Clark,Clark (William Andrews) Memorial Library ,,Clark Memorial Lib
UC Los Angeles,College,College Library,g,College Lib
UC Los Angeles,CtrAfrAmr,Bunche (Ralph J.) Center for African American Studies Library,g,Center for African American Studies Lib
UC Los Angeles,EastAsian,Rudolph (Richard C. ) East Asian Library,g,East Asian Lib
UC Los Angeles,EngReadRm,Department of English Reading Room,g,English Reading Room
UC Los Angeles,EthnoArcv,Ethnomusicology Archive,,Ethnomusicology Archive
UC Los Angeles,FilmTV,Film & Television Archive,,Film & Television Archive
UC Los Angeles,IMLab,Instructional Media Lab,g,Instructional Media Lab
UC Los Angeles,IMLib,Instructional Media Lib,g,Instructional Media Lib
UC Los Angeles,IS-Lab,Department of Information Studies Technology Lab,g,Information Studies Technology Lab
